OrderID,OrderDate,OrderTotal,CookieID,CookieName,RevenuePerCookie,CostPerCookie,Quantity,CustomerID,CustomerName,Phone,Address,City,State,Zip,Country,Notes
1,1/1/2022,1815,1,Chocolate Chip,5,2,229,5,Park & Shop Convenience Stores,251-655-2909,2217 Lonely Oak Drive,Mobile,AL,36602,United States,"New customer, make sure to please them! Very frugal, so reinforce how delicious AND inexpensive our cookies are."
1,1/1/2022,1815,2,Fortune Cookie,1,0.5,160,5,Park & Shop Convenience Stores,251-655-2909,2217 Lonely Oak Drive,Mobile,AL,36602,United States,"New customer, make sure to please them! Very frugal, so reinforce how delicious AND inexpensive our cookies are."
1,1/1/2022,1815,5,Sugar,3,1.25,30,5,Park & Shop Convenience Stores,251-655-2909,2217 Lonely Oak Drive,Mobile,AL,36602,United States,"New customer, make sure to please them! Very frugal, so reinforce how delicious AND inexpensive our cookies are."
1,1/1/2022,1815,3,Oatmeal Raisin,5,2.2,84,5,Park & Shop Convenience Stores,251-655-2909,2217 Lonely Oak Drive,Mobile,AL,36602,United States,"New customer, make sure to please them! Very frugal, so reinforce how delicious AND inexpensive our cookies are."
2,1/2/2022,964,4,Snickerdoodle,4,1.5,49,5,Park & Shop Convenience Stores,251-655-2909,2217 Lonely Oak Drive,Mobile,AL,36602,United States,"New customer, make sure to please them! Very frugal, so reinforce how delicious AND inexpensive our cookies are."
2,1/2/2022,964,6,White Chocolate Macadamia Nut,6,2.75,128,5,Park & Shop Convenience Stores,251-655-2909,2217 Lonely Oak Drive,Mobile,AL,36602,United States,"New customer, make sure to please them! Very frugal, so reinforce how delicious AND inexpensive our cookies are."
3,1/4/2022,2238,1,Chocolate Chip,5,2,82,2,ABC Groceries,801-583-8695,3215 Tori Lane,Salt Lake City,UT,84113,United States,"Friendly but a little old school. Talks way too much, set a time limit on calls."
3,1/4/2022,2238,5,Sugar,3,1.25,180,2,ABC Groceries,801-583-8695,3215 Tori Lane,Salt Lake City,UT,84113,United States,"Friendly but a little old school. Talks way too much, set a time limit on calls."
3,1/4/2022,2238,6,White Chocolate Macadamia Nut,6,2.75,18,2,ABC Groceries,801-583-8695,3215 Tori Lane,Salt Lake City,UT,84113,United States,"Friendly but a little old school. Talks way too much, set a time limit on calls."
3,1/4/2022,2238,3,Oatmeal Raisin,5,2.2,202,2,ABC Groceries,801-583-8695,3215 Tori Lane,Salt Lake City,UT,84113,United States,"Friendly but a little old school. Talks way too much, set a time limit on calls."
3,1/4/2022,2238,2,Fortune Cookie,1,0.5,170,2,ABC Groceries,801-583-8695,3215 Tori Lane,Salt Lake City,UT,84113,United States,"Friendly but a little old school. Talks way too much, set a time limit on calls."
4,1/6/2022,737,4,Snickerdoodle,4,1.5,82,1,Tres Delicious,999-999-9999,123 Main Street,Seattle,WA,98112,United States,"High maintenance, not sure if it's worth having them as a customer, but don't tell them that!"
4,1/6/2022,737,3,Oatmeal Raisin,5,2.2,25,1,Tres Delicious,999-999-9999,123 Main Street,Seattle,WA,98112,United States,"High maintenance, not sure if it's worth having them as a customer, but don't tell them that!"
4,1/6/2022,737,2,Fortune Cookie,1,0.5,209,1,Tres Delicious,999-999-9999,123 Main Street,Seattle,WA,98112,United States,"High maintenance, not sure if it's worth having them as a customer, but don't tell them that!"
4,1/6/2022,737,5,Sugar,3,1.25,25,1,Tres Delicious,999-999-9999,123 Main Street,Seattle,WA,98112,United States,"High maintenance, not sure if it's worth having them as a customer, but don't tell them that!"
5,1/9/2022,569,5,Sugar,3,1.25,11,4,Wholesome Foods,347-789-7688,1521 Redbud Drive,Huntington,NY,11743,United States,"CEO has three kids, first one is Charles, don't know the rest. CEO cares about Charles the most, so all good."
5,1/9/2022,569,1,Chocolate Chip,5,2,46,4,Wholesome Foods,347-789-7688,1521 Redbud Drive,Huntington,NY,11743,United States,"CEO has three kids, first one is Charles, don't know the rest. CEO cares about Charles the most, so all good."
