date,transaction_id,customer_id,product,product_code,product_color,product_price,purchase_size,revenue
23 January 2020,37855,7571,couch,SKU31871,purple," $1,000.00 ",1," $1,000.00 "
05 February 2020,49430,9886,couch,SKU31871,grey," $1,000.00 ",1," $1,000.00 "
16 February 2020,46915,9383,fan,SKU83503,black, $13.99 ,1, $13.99 
16 February 2020,9900,1980,couch,SKU31871,white," $1,000.00 ",1," $1,000.00 "
28 February 2020,21485,4297,chair,SKU99664,black, $234.50 ,1, $234.50 
22 March 2020,14080,2816,desk,SKU40294,brown, $169.95 ,1, $169.95 
28 April 2020,49075,9815,couch,SKU31871,blue," $1,000.00 ",1," $1,000.00 "
29 April 2020,26530,5306,desk,SKU40294,brown, $169.95 ,1, $169.95 
01 May 2020,12315,2463,fan,SKU83503,brass, $13.99 ,2, $27.98 
04 June 2020,6340,1268,desk,SKU40294,white, $169.95 ,1, $169.95 
06 June 2020,24785,4957,,SKU77417,beige, $399.95 ,1, $399.95 
06 June 2020,24785,4957,,SKU13351,grey, $299.99 ,1, $299.99 
29 June 2020,9640,1928,couch,SKU31871,grey," $1,000.00 ",1," $1,000.00 "
08 July 2020,23435,4687,couch,SKU31871,brown," $1,000.00 ",1," $1,000.00 "
22 July 2020,45400,9080,vase,SKU99037,green, $9.99 ,2, $19.98 
22 July 2020,45400,9080,mirror,SKU97721,brass, $199.95 ,1, $199.95 
22 July 2020,45400,9080,bookcase,SKU15757,brown, $58.89 ,1, $58.89 
11 August 2020,31775,6355,rug,SKU19092,grey, $89.85 ,1, $89.85 
29 August 2020,9900,1980,fan,SKU83503,brass, $13.99 ,2, $27.98 
07 September 2020,21870,4374,rug,SKU19092,beige, $89.85 ,3, $269.55 
25 September 2020,31615,6323,rug,SKU19092,grey, $89.85 ,2, $179.70 
11 October 2020,12560,2512,bed,SKU74796,brown, $799.99 ,1, $799.99 
12 October 2020,1675,335,couch,SKU31871,white," $1,000.00 ",1," $1,000.00 "
21 October 2020,19105,3821,couch,SKU31871,black," $1,000.00 ",1," $1,000.00 "
10 November 2020,22620,4524,couch,SKU31871,grey," $1,000.00 ",1," $1,000.00 "
12 December 2020,9890,1978,fan,SKU83503,white, $13.99 ,1, $13.99 
28 December 2020,44700,8940,fan,SKU83503,brass, $13.99 ,2, $27.98 
28 December 2020,44700,8940,lamp,SKU95363,brass, $45.99 ,5, $229.95 
30 December 2020,48035,9607,rug,SKU19092,beige, $89.85 ,3, $269.55 
